ID,Name,Description,Latitude,longitute,Country,Province,Image,Sound
11,Tuekdin Mosque ,"An old Islamic neighborhood behind the Rajdamnoen building area, features the pristine white 'Tindin Mosque' located in a community surrounded by houses, which may obscure its once-visible beauty.",13.75836767,100.5003551,Thailand,Bangkok,images/image11.jpg,sounds/sound11.mp3
12,Luenrit ,"Uncovered ancient artifacts within the area, including fragments of plates, bowls, glasses, tiles, horseshoes, doors, roofs, mahjong tiles, and even pig remains. These findings reflect historical value from the reign of King Rama IV to the present day.",13.743784,100.505074,Thailand,Bangkok,images/image12.jpg,sounds/sound12.mp3
13,Ban Thongkamplew ,"This ancient gold leaf production community, dating back to the reign of King Rama V, was once a major center for trading gold leaf and royal decorations. It is also a historically valuable community for gold craftsmanship in Bangkok.",13.7507544,100.4993098,Thailand,Bangkok,images/image13.jpg,sounds/sound13.mp3
14,Ban Teethong ,"A community of Lao people from Vientiane and Luang Prabang who migrated during the early Rattanakosin period, specializing in gold leaf crafting for covering Buddha statues and for decorating various artworks.",13.75733288,100.498662,Thailand,Bangkok,images/image14.jpg,sounds/sound14.mp3
15,Ban Krua Nhuer,"The Chamu ethnic community, originally from Cambodia, is renowned for its traditional silk weaving. This community, with its rich cultural heritage, continues to uphold and celebrate its textile craftsmanship.",13.74986855,100.5276124,Thailand,Bangkok,images/image15.jpg,sounds/sound15.mp3
16,Pahurat ,"The historic commercial district of Pahurat in Bangkok is renowned for its vibrant and diverse fabric shops, featuring textiles from Thai, Chinese, and Indian traditions. The area is predominantly occupied by Thai-Indian merchants who offer a range of products, including clothing, accessories, and Indian food with distinctive spice flavors. This makes Pahurat a small Indian community within Thailand, showcasing a rich blend of cultural heritage and commercial activity.",13.74454207,100.4995295,Thailand,Bangkok,images/image16.jpg,sounds/sound16.mp3
17,Wat Sampraya,"The Wat Sam Phraya community is renowned for its unique craftsmanship, such as art made from 'palm leaves.' Although this art form has faded, a notable specialty is 'khao tom nam woon,' a well-known sweet. Additionally, Wat Sam Phraya Worawihan, an ancient temple, has long stood alongside the community.",13.76663902,100.4994244,Thailand,Bangkok,images/image17.jpg,sounds/sound17.mp3
18,Ban Mhor ,"Located next to Ban Lao, is a community of Vietnamese immigrants who settled during the early Rattanakosin period. They originally specialized in making pots and cooking utensils. As modern containers replaced their traditional products, they shifted their focus to selling jewelry, gemstones, and accessories, becoming a renowned area in Phra Nakhon. Today, it has transformed into a major hub for audio equipment sales.",13.74487261,100.4972988,Thailand,Bangkok,images/image18.jpg,sounds/sound18.mp3
19,Yan Ta Praarthit ,"A popular area for foreign tourists in the Banglamphu neighborhood, Khao San Road is a street along the Chao Phraya River featuring restaurants, hotels, hostels, tour companies, coffee shops, dessert places, photo spots, and public parks for relaxation.",13.76227554,100.4931616,Thailand,Bangkok,images/image19.jpg,sounds/sound19.mp3
20,Yan Ta Praarthit ,"A popular area for foreign tourists in the Banglamphu neighborhood, Khao San Road is a street along the Chao Phraya River featuring restaurants, hotels, hostels, tour companies, coffee shops, dessert places, photo spots, and public parks for relaxation.",13.76227554,100.4931616,Thailand,Bangkok,images/image20.jpg,sounds/sound20.mp3
