ID,Name,Description,Latitude,Longtitude,Country,Province,District 
15,Ban Kaow Mao,"A learning hub in the Bangkoks Noi area, where visitors can experience and learn the traditional methods of making 'khao mao' (roasted rice) that are unique to the community.",13.7605086,100.476069,Thailand,Bangkok,
16,Ban Krua ,"A historic Thai-Muslim community of Cham descent, the largest of its kind in Bangkok with a history spanning over 200 years. The community is renowned for its traditional silk weaving craftsmanship. It also houses the old 'Masjid Yameul Koiya' mosque, which was established during the reign of King Rama I.",13.75174558,100.5223616,Thailand,Bangkok,
17,Trok Ban Panthom,"In the past, this community was known for producing engraved trays, or 'phaan thom,' a significant craft in old Bangkok. Today, this tradition no longer exists, but the community is remembered for its historical role as a key producer of these ancient metalworks.",13.76145439,100.5041867,Thailand,Bangkok,
18,Khlong Lad Yom ,"Reflects a traditional lifestyle of riverbank residents, emphasizing beliefs surrounding Phra Mae Phosop, the rice goddess. This market showcases the agricultural life of local farmers in the outskirts, amidst ongoing social changes in the community.",13.761555,100.415498,Thailand,Bangkok,
19,Prachanaruemitr,"The only road in Bangkok where, along its 1-kilometer stretch in Soi Prachaniwet, you'll find a community engaged in comprehensive woodwork. This area includes everything from processed wood for construction, wooden furniture, to highly skilled woodcarvers, with over 200 shops lining the street.",13.80918106,100.5220099,Thailand,Bangkok,
20,Ban bat ,"At the intersection of Meru Poon and Bamrung Mueang Roads, the exact origins of the community are unclear, with varying accounts. Some say the residents of Ban Bat were originally from Ayutthaya and migrated after the fall of the city, while others believe it was established during the early days of Bangkok. Historically, this community was renowned for its craftsmanship in making monk's alms bowls, with products once sold at markets in the Sao Chingcha and Sampeng areas. Today, only a few families continue this traditional craft.",13.7513014,100.5060857,Thailand,Bangkok,
21,Trok Wang Lhung,"A hub for affordable clothing and food items, as well as a district specializing in pharmacies and various medical equipment.",13.75577989,100.4838112,Thailand,Bangkok,
22,Talad Bangkean ,"The Bang Khen Market community is over 100 years old, featuring historic markets and sites that the community has preserved to this day. It also houses the significant mask-making center, 'Ban Chang Hua Khon,' where masks have been crafted by Uncle Thanom for over 50 years.",13.85515765,100.5635837,Thailand,Bangkok,
23,Talad Kao Nhong Jok ,"Nong Chok Old Market is situated in a prime location for commerce, where several canals, such as the Saen Saep Canal, converge. This strategic position has made the area a central hub for community interactions, exchange, and the buying and selling of goods and services.",13.85718178,100.8654688,Thailand,Bangkok,
24,Bang Saigai Ban Somdej,"The Lao Viengchan community, over 200 years old, is known for producing flutes, referred to as 'Ban Lao Flutes,' since the reign of King Rama III and continues to do so today. The area also houses a renowned mask-making center called 'Ban Silpa Thai.'",13.73248865,100.4893067,Thailand,Bangkok,
25,Wat Hirunrujee,"The Wat Hirunruji community is known for its local wisdom and historic temples, such as Wat Hirunruji Worawihan, which is over a hundred years old. It is also located along the historical tourism route of the Hirunruji area in Thonburi district.",13.7287886,100.4907667,Thailand,Bangkok,
26,Bang Orr Mosque,Known for its distinctive architecture and is one of the best-preserved examples of traditional mosque design in Thailand. The most recent renovation of the mosque took place after the major flooding in 2011.,13.79498293,100.5112623,Thailand,Bangkok,
27,Wat Yhai Srisupan ,"The community houses a religious site established during the Ayutthaya period. It also features a diverse mix of ethnic groups who settled here during the early Rattanakosin era. Additionally, the community is known for its unique tie-dye fabric products.",13.73007183,100.4885142,Thailand,Bangkok,
28,Nhongkaem ,"The Nong Khaem community has a long cultural and historical legacy that should be preserved for the study of its past. Historically, Nong Khaem was a center of trade along the Phasi Charoen Canal, in front of Wat Nong Khaem.",13.67665837,100.3384454,Thailand,Bangkok,
29,Rimkhlongchakphra,"Riverside Living: The Canal of Life’—The Khlong Chak Phra community is bustling with boats navigating the canal all day long, surrounded by the lively atmosphere of traditional Thai riverside homes and lifestyles. It also upholds the unique 'Boat Pulling Festival' at Wat Nang Chi, the only such festival in Bangkok.",13.781298,100.465933,Thailand,Bangkok,
30,Chareonchai ,Home to many valuable historic buildings and serves as a major hub for Chinese cultural and traditional goods in Bangkok.,13.74265736,100.5099521,Thailand,Bangkok,
31,Wat Daowduengsaram ,"History dating back to the Thonburi period. Important sites within the community include Wat Dao Duangaran and the Bang Yi Khan Distillery, which was formerly an industrial factory located in the area.",13.76786366,100.4923634,Thailand,Bangkok,
32,Kudeelhuang Mosque ,"It is the first religious site of the Khao San community, playing a key role in solidifying the Khao San community. Since being granted land to establish the religious site, it has been a foundational element for the Khao San community for over 150 years.",13.756856,100.474774,Thailand,Bangkok,
33,Chareonpas ,"It is considered unique architecture that blends gingerbread-style building forms with Islamic elements, symbolizing the connection between the community and religion.",13.73693255,100.4869197,Thailand,Bangkok,
34,Ban Poon ,"It is a community known for producing quicklime, used to make red lime for betel chewing, an essential practice for people in the past.",13.77077877,100.4962682,Thailand,Bangkok,
35,Ban Mhor ,"Located next to Ban Lao, is a community of Vietnamese immigrants who settled during the early Rattanakosin period. They originally specialized in making pots and cooking utensils. As modern containers replaced their traditional products, they shifted their focus to selling jewelry, gemstones, and accessories, becoming a renowned area in Phra Nakhon. Today, it has transformed into a major hub for audio equipment sales.",13.74487261,100.4972988,Thailand,Bangkok,
36,Ban Somdej Mosque ,"The Ban Somdet Mosque community reflects the lifestyle of Muslims and is a source of halal food during Ramadan, including dishes like Boudin sweets and curry sweets. It also features beautiful religious and cultural architecture, such as the Nurul Mubin Mosque.",13.7356072,100.4904538,Thailand,Bangkok,
37,Ban Leabkhlongmorn ,"A Mon community with a history of over 100 years, originating from Phra Pradaeng and Samut Sakhon, lives according to riverside traditions. They have long preserved the 'Tak Bat Phra Roi' festival, a significant and enduring tradition.",13.73185,100.8154,Thailand,Bangkok,
38,Wat Jumpa ,"A community centered around Wat Champa, featuring an unmissable annual tradition, the 'Boat Pulling Festival,' and unique local craftsmanship, such as art on banana leaves and banana palm carving.",13.774975,100.433978,Thailand,Bangkok,
39,Talad Plu ,An ancient riverside community famous since the Thonburi era for cultivating the finest betel leaves has evolved into a vibrant street food hub and a marketplace for Chinese-Thai offerings. It is now known as the 'Chinatown of Thonburi' on Rattanakosin Island.,13.717918,100.475469,Thailand,Bangkok,
40,Samakkeeruamjai ,"One of the communities along Bang Bua Canal, which was excavated during the reign of King Rama V, is facing encroachment issues along both sides of the canal. To address this, the 'Bang Bua Canal Community and Environmental Development Network' was established to enhance the environment and strengthen the community.",13.86004507,100.5866472,Thailand,Bangkok,
41,Wat Sampraya,"The Wat Sam Phraya community is renowned for its unique craftsmanship, such as art made from 'palm leaves.' Although this art form has faded, a notable specialty is 'khao tom nam woon,' a well-known sweet. Additionally, Wat Sam Phraya Worawihan, an ancient temple, has long stood alongside the community.",13.76663902,100.4994244,Thailand,Bangkok,
42,Wat Changlhek ,"Located in the Khlong Chak Phra area, on the right bank of the Chao Phraya River towards the western part of Bangkok. Wat Chang Lek serves as the central hub for this community, which is devoted to Buddhism.",13.77300841,100.4540005,Thailand,Bangkok,
43,Dilfalla Mosque ,"Also known as Kudee Nok or Kudee Plai Na, is the last kad (Islamic judge's office) of the Khao San group. It was the final kad established in Thonburi society and is currently located along Isarapab Road in Thonburi, similar to other kads in the Thai Shia Ithna Ashari (Three Kads-Four Mosques) community.",13.738368,100.485337,Thailand,Bangkok,
44,Troksilpa-Troktuekdin ,"It is an ancient community that still preserves architecture over 80 years old, including residential areas of its inhabitants. It is situated in the vicinity of significant religious sites, which may have contributed to the establishment of what is now known as the 'Trok Sin-Trok Tin Soi' community, such as Wat Thepthidaram, Wat Mahannapharam, and Wat Ratchanadda.",13.75536892,100.5004767,Thailand,Bangkok,
45,Luenrit ,"Uncovered ancient artifacts within the area, including fragments of plates, bowls, glasses, tiles, horseshoes, doors, roofs, mahjong tiles, and even pig remains. These findings reflect historical value from the reign of King Rama IV to the present day.",13.743784,100.505074,Thailand,Bangkok,
46,Ban Dok Mai ,"Another renowned artisan community in Phra Nakhon is located around Golden Mount (Wat Saket) and the area along Khlong Ong Ang. This old neighborhood developed alongside the construction of the temple and became an important center for the production of consumables in Phra Nakhon. Among these skilled artisan communities is 'Ban Dok Mai,' known for producing fireworks, firecrackers, and torches.",13.74919566,100.5069334,Thailand,Bangkok,
47,Koiruttukwa,"Maintaining its local cultural traditions, this green community serves as a model in several aspects, such as using religious principles to restore mental well-being and revitalize the community. It features drinkable rainwater and has established a new agricultural theory school.",13.831199,100.842795,Thailand,Bangkok,
48,Wat Tippawas ,"A community centered around Wat Thippawas, an important and ancient temple over a hundred years old, featuring a ubosot (ordination hall) constructed entirely of golden teak wood.",13.7798,100.8018,Thailand,Bangkok,
49,Kudee Chareonpas,"Kad Cherngphat, the only kad (Islamic judge's office) in the area of cultural significance known as Khao San Sam Kad-Si Surao that has not been registered as a mosque, continues to preserve its identity as a 'kad.",13.736943,100.48693,Thailand,Bangkok,
50,Ban Thongkamplew ,"This ancient gold leaf production community, dating back to the reign of King Rama V, was once a major center for trading gold leaf and royal decorations. It is also a historically valuable community for gold craftsmanship in Bangkok.",13.7507544,100.4993098,Thailand,Bangkok,
51,Pom Mahakarn ,"This group has been continuously settled for over 50 years, blending with people who have been here since the reign of King Rama III, who established the old houses still present today. Wat Thepthidaram and Wat Ratchanadda serve as the centers for religious ceremonies and beliefs, while the shrine at Phom Mahakan is a place of veneration for the community.",13.75556335,100.5010247,Thailand,Bangkok,
52,Ban dinsor,"Originating from the traditional profession of the Ban Din So community on the intersecting street, which involved the production and sale of yellow and white pencils for writing, as well as various Thai notebooks.",13.77466162,100.433954,Thailand,Bangkok,
53,Trok Bawornrungsee,Currently renowned for gold leaf production but was historically known for its highly skilled goldsmiths.,13.75879101,100.5007908,Thailand,Bangkok,
54,Taladnam Watsaphan ,"A riverside market located within a temple area, surrounded by residents' homes. It features an ancient 230-year-old sato tree and an old Ayutthaya-era vihara (temple hall).",13.77747999,100.4562712,Thailand,Bangkok,
55,Wat Saphan ,"Located within the city but maintaining a lifestyle similar to that of garden villagers, with the canal playing a crucial role in their daily life.",13.748747,100.438613,Thailand,Bangkok,
56,Ban Teethong ,"A community of Lao people from Vientiane and Luang Prabang who migrated during the early Rattanakosin period, specializing in gold leaf crafting for covering Buddha statues and for decorating various artworks.",13.75733288,100.498662,Thailand,Bangkok,
57,Ban Panthom,"Area is known for its craftsmen specializing in making tinware such as water vessels and trays. While there is no exact historical record of when this began, the tinware style was influenced by people who migrated from Nakhon Si Thammarat, hence it was commonly referred to as 'Nakhon tin.' Today, this tradition is no longer present.",13.7601966,100.5027794,Thailand,Bangkok,
58,Sripoom,"A community with diverse ethnic groups, including the Lao from Vientiane, Mon, Chinese, and Muslim groups, among others.",13.72799091,100.4867852,Thailand,Bangkok,
59,Pradit Torrakarn ,"A community where most people are originally from Chachoengsao and nearby areas, who have settled in the city and taken up the profession of goldstone carving.",13.854981,100.582304,Thailand,Bangkok,
60,Tuekdin Mosque ,"An old Islamic neighborhood behind the Rajdamnoen building area, features the pristine white 'Tindin Mosque' located in a community surrounded by houses, which may obscure its once-visible beauty.",13.75836767,100.5003551,Thailand,Bangkok,
61,Wat Nhungrachworrawiharn ,"An ancient temple with a long history, beautiful Thai architecture, and an educational museum that serves as a repository of fascinating cultural information and wisdom.",13.7053314,100.4650928,Thailand,Bangkok,
62,Ban Bangkadi ,"The Mon ethnic group, preserving their culture, traditions, and beliefs, remains firmly committed to Buddhism. Important festivals include the Honey Offering Festival, the Flower Offering Festival, the Tak Bat Devo Festival, and the Kuan Karyasart Festival.",13.611532,100.38433,Thailand,Bangkok,
63,Suanlhuang 1,"Urban society and ancient mosque from the early Rattanakosin period, originated from the settlement of Malays who were relocated due to war.",13.70086303,100.5031856,Thailand,Bangkok,
64,Yan Khlongsan ,"Historically significant as a district with important developments in economics, politics, society, and culture for both Thonburi and Bangkok, it is currently undergoing physical and infrastructure development, alongside efforts to rediscover and revitalize community cultural assets to create value and drive innovation and creativity.",13.730544,100.509252,Thailand,Bangkok,
65,Wat Tepakorn ,"An ancient temple with a history closely related to the Mon people in the Thonburi area of the past, Wat Thephakorn (Wat Thantaothong/Wat Bangplu Bon) pairs with Wat Thepphanaree (Wat Thantaowong/Wat Bangplu Lang), sharing a 'temple elder and younger' relationship.",13.78648382,100.5017285,Thailand,Bangkok,
66,Ta Maharaj ,"The fusion of contemporary art and culture with modern lifestyles in the Old City area has led to its development into a bustling economic and commercial district along the Chao Phraya River, teeming with diverse tourists.",13.75426935,100.4895292,Thailand,Bangkok,
67,Yan Ta Praarthit ,"A popular area for foreign tourists in the Banglamphu neighborhood, Khao San Road is a street along the Chao Phraya River featuring restaurants, hotels, hostels, tour companies, coffee shops, dessert places, photo spots, and public parks for relaxation.",13.76227554,100.4931616,Thailand,Bangkok,
68,Ta Prachan ,"A urban community in a historically significant area along the Chao Phraya River, featuring important religious, educational, and economic sites—one of Bangkok's must-see areas of interest.",13.75665514,100.4888778,Thailand,Bangkok,
69,Tewej,"An ancient community since the early Rattanakosin era, with social and economic development transforming it into a prosperous area of significant economic, commercial, and cultural importance.",13.77240497,100.5004673,Thailand,Bangkok,
70,Yawa Mosque ,"A beautiful and unique religious site, resulting from the collaboration of the Yawi ethnic group who migrated to Thailand, and located in an important historical area.",13.71607882,100.5223093,Thailand,Bangkok,
71,Chareonkrung ,"the largest creative district in Bangkok, is a hub of 100-year-old architecture that blends various cultures—Thai, Chinese, Buddhist, Christian, and Islamic—into the lifestyle of its people.",13.716109,100.51389,Thailand,Bangkok,
72,Talad Tatien ,"An old district with historical significance spanning hundreds of years, located in an area important for trade—such as a port, a customs checkpoint, and a riverside warehousing point on the Chao Phraya River—along with social development leading to a unique local identity.",13.74633555,100.4912435,Thailand,Bangkok,
